2023年09月19日,2023年09月20日,2023年09月28日,1.42,
2023年06月29日,2023年06月30日,2023年07月28日,0.20,
2022年09月19日,2022年09月20日,2022年09月29日,0.90,
2022年06月23日,2022年06月24日,2022年07月28日,1.15,
2021年09月16日,2021年09月17日,2021年09月29日,0.99,
2021年06月17日,2021年06月18日,2021年07月29日,0.80,
2020年09月17日,2020年09月18日,2020年09月29日,1.50,
2020年06月22日,2020年06月23日,2020年07月30日,1.22,
2019年09月19日,2019年09月20日,2019年09月27日,1.30,
2019年06月20日,2019年06月21日,2019年07月30日,1.60,
2018年09月19日,2018年09月20日,2018年09月28日,2.00,
2018年06月26日,2018年06月27日,2018年07月30日,1.10,
2017年09月20日,2017年09月21日,2017年09月29日,1.60,
2017年06月19日,2017年06月20日,2017年07月31日,1.10,
2016年12月13日,2016年12月14日,2016年12月22日,0.90,
2016年06月24日,2016年06月27日,2016年07月29日,1.80,
2015年12月10日,2015年12月11日,2016年01月04日,1.30,
2015年06月26日,2015年06月29日,2015年07月31日,1.80,
2014年12月12日,2014年12月15日,2015年01月02日,1.50,
2014年06月26日,2014年06月27日,2014年07月23日,1.50,
2013年12月13日,2013年12月16日,2014年01月02日,1.27,
2013年06月27日,2013年06月28日,2013年07月22日,1.30,
2012年12月14日,2012年12月17日,2013年01月02日,1.40,
2012年06月29日,2012年07月03日,2012年07月20日,1.30,
2011年12月16日,2011年12月19日,2012年01月03日,0.90,
2011年06月30日,2011年07月04日,2011年07月18日,1.50,
2010年12月17日,2010年12月20日,2011年01月03日,0.70,
2010年06月25日,2010年06月28日,2010年07月09日,0.80,
2009年12月18日,2009年12月21日,2010年01月04日,0.36,
2009年06月26日,2009年06月29日,2009年07月10日,1.10,
2008年12月19日,2008年12月22日,2009年01月02日,0.50,
2008年06月27日,2008年06月30日,2008年07月11日,1.60,
2007年12月19日,2007年12月20日,2008年01月02日,0.68,
2007年06月29日,2007年07月03日,2007年07月10日,0.47,
2006年12月29日,2007年01月02日,2007年01月05日,0.33,
2006年06月30日,2006年07月03日,2006年07月10日,0.67,
2005年12月30日,2006年01月03日,2006年01月09日,0.33,
2005年06月30日,2005年07月04日,2005年07月08日,0.77,
2004年12月30日,2005年01月03日,2005年01月10日,0.32,
2004年06月30日,2004年07月02日,2004年07月23日,0.60,
